"image","xmin","ymin","xmax","ymax","label"
"0.1103025738752118__6768_ch2_from_28022022203330__to__28022022204201.mp4#t=430.333333.jpg",1028.1099190038685,405.75153280041883,1791.0592964216635,1047.0711883859537,"Face"
"0.11218830851765471__6787_ch2_from_02032022204330__to__02032022204839.mp4#t=180.133333.jpg",1120.8046421663444,508.18452249114046,1543.2789984284334,1251.9371677673969,"Face"
"0.1103025738752118__6768_ch2_from_28022022203330__to__28022022204201.mp4#t=450.6.jpg",1174.2823984526112,110.92268041237114,1685.886348525145,504.62169025853734,"Profil-gauche"
"0.11938520560955046__6410_ch1_from_28022022125530__to__28022022130237.mp4#t=122.733333.jpg",1278.5639960106382,344.2917933513209,1477.3230174081236,563.409305533183,"Profil-droit"
"0.11938520560955046__6410_ch1_from_28022022125530__to__28022022130237.mp4#t=115.866667.jpg",572.6576402321083,399.5165084366946,749.1342631769826,641.7927699138208,"Profil-droit"
"0.11938520560955046__6410_ch1_from_28022022125530__to__28022022130237.mp4#t=117.4.jpg",588.7009943181819,387.9370998107281,875.6982591876209,606.1639039344395,"Face"
"0.11218830851765471__6787_ch2_from_02032022204330__to__02032022204839.mp4#t=199.333333.jpg",904.2197020067698,481.4628730066044,1872.167281189555,1110.3123439513531,"Profil-gauche"
"0.11938520560955046__6410_ch1_from_28022022125530__to__28022022130237.mp4#t=136.266667.jpg",1161.8043097195357,874.271106837951,1609.2348434477756,1279.549457353415,"Face"
"0.11938520560955046__6410_ch1_from_28022022125530__to__28022022130237.mp4#t=251.733333.jpg",1098.5222437137331,716.6134020618557,1626.1694118713733,1145.9412099307347,"Profil-gauche"
"0.11938520560955046__6410_ch1_from_28022022125530__to__28022022130237.mp4#t=321.8.jpg",1236.6731141199227,296.19281068782226,1402.454213007737,465.4020618556701,"Profil-gauche"
"0.11938520560955046__6410_ch1_from_28022022125530__to__28022022130237.mp4#t=218.4.jpg",1167.1520037475823,840.4237928882088,1619.9303675048357,1272.423792888209,"Face"
"0.11938520560955046__6410_ch1_from_28022022125530__to__28022022130237.mp4#t=307.466667.jpg",1229.5427194148936,279.2690857562822,1386.4108589216635,429.8010581105026,"Profil-gauche"
"0.11938520560955046__6410_ch1_from_28022022125530__to__28022022130237.mp4#t=249.666667.jpg",1181.4127931576402,782.5268177150451,1623.4956328578337,1224.3247422680413,"Profil-gauche"
"0.1454955441554988__6445_ch10_from_04042022135630__to__04042022140334.mp4#t=200.4.jpg",1037.914092722437,958.889663538982,1599.4305337282399,1288.4566738482604,"Profil-droit"
"0.1584382139101509__6829_ch9_from_04042022163230__to__04042022164126.mp4#t=102.933333.jpg",812.4163291827853,735.3185431096972,1157.3478300290135,1024.8031471488403,"Profil-gauche"
"0.1584382139101509__6829_ch9_from_04042022163230__to__04042022164126.mp4#t=124.933333.jpg",1787.4941670696326,859.1288659793814,2223.3378264023213,1292.019641994201,"Profil-droit"
"0.1454955441554988__6445_ch10_from_04042022135630__to__04042022140334.mp4#t=197.533333.jpg",997.8057755077369,948.6185567010309,1546.844127780464,1282.221649484536,"Profil-gauche"
"0.1584382139101509__6829_ch9_from_04042022163230__to__04042022164126.mp4#t=345.666667.jpg",727.7432150628626,808.3577591414304,1373.932770188588,1294.6918341253222,"Profil-droit"
"0.15946854129932353__6778_ch2_from_27022022153230__to__27022022154032.mp4#t=330.066667.jpg",906.0024026837524,629.3227211863724,1413.149737064797,1262.5979381443299,"Face"
"0.15946854129932353__6778_ch2_from_27022022153230__to__27022022154032.mp4#t=299.866667.jpg",949.6758492504836,679.2031199661727,1538.8225187379112,1265.2979925096652,"Profil-gauche"
"0.15946854129932353__6778_ch2_from_27022022153230__to__27022022154032.mp4#t=331.4.jpg",896.1980929642166,673.8588036605993,1484.4534121131528,1217.1989418894975,"Face"
"0.16286344865406788__6404_ch1_from_27022022213530__to__27022022214529.mp4#t=112.4.jpg",152.85726698500966,691.6732366502899,393.5071702732108,992.7371134020618,"Profil-droit"
"0.15946854129932353__6778_ch2_from_27022022153230__to__27022022154032.mp4#t=98.133333.jpg",960.3713733075435,738.8814432989691,1370.36750483559,1136.1433533344073,"Profil-gauche"
"0.19275038304662773__6403_ch2_from_27022022170330__to__27022022171103.mp4#t=91.533333.jpg",1792.8417250967118,387.04639175257734,2209.077036992263,858.2382258778996,"Face"
"0.19275038304662773__6403_ch2_from_27022022170330__to__27022022171103.mp4#t=123.533333.jpg",973.7408123791103,322.91446017235825,1369.4762904980657,780.7454015987436,"Profil-gauche"
"0.16286344865406788__6404_ch1_from_27022022213530__to__27022022214529.mp4#t=487.666667.jpg",1149.3260849854933,802.1226668210376,1550.854932301741,1289.3474498630799,"Profil-gauche"
"0.16286344865406788__6404_ch1_from_27022022213530__to__27022022214529.mp4#t=119.666667.jpg",1125.2611218568666,707.7061855670104,1455.0406189555126,1108.5309278350517,"Profil-droit"
"0.19275038304662773__6403_ch2_from_27022022170330__to__27022022171103.mp4#t=87.733333.jpg",1761.6463672630562,420.8938416156572,2107.4693544487427,786.089717904317,"Profil-gauche"
"0.19275038304662773__6403_ch2_from_27022022170330__to__27022022171103.mp4#t=302.4.jpg",1542.3876480899419,306.8814432989691,1890.8842782882011,732.6464189352448,"Profil-droit"
"0.19275038304662773__6403_ch2_from_27022022170330__to__27022022171103.mp4#t=264.133333.jpg",970.1756830270793,583.895862697326,1368.5849401595744,1046.180412371134,"Face"
"0.19275038304662773__6403_ch2_from_27022022170330__to__27022022171103.mp4#t=133.8.jpg",944.32801922147,372.7948589521585,1396.2151686411992,846.658817251933,"Face"
"0.19275038304662773__6403_ch2_from_27022022170330__to__27022022171103.mp4#t=258.jpg",941.6542402079303,556.2835051546392,1355.2155010880078,996.3000815480027,"Profil-gauche"
"0.19275038304662773__6403_ch2_from_27022022170330__to__27022022171103.mp4#t=266.533333.jpg",988.8928161266924,494.82369774887246,1405.1281280222438,902.7743083521264,"Profil-droit"
"0.21753398415794512__6774_ch2_from_27022022134530__to__27022022135359.mp4#t=390.733333.jpg",971.0668973646035,515.3103228696843,1413.149737064797,1232.3413186614048,"Face"
"0.20456918023434945__6405_ch1_from_27022022160030__to__27022022161022.mp4#t=514.133333.jpg",446.09364422147,697.9082610140142,681.3957174806576,1058.6505970119201,"Profil-gauche"
"0.21753398415794512__6774_ch2_from_27022022134530__to__27022022135359.mp4#t=127.533333.jpg",890.8502629352031,387.04639175257734,1310.6507041827854,1119.2195604461986,"Face"
"0.2598339249001522__6794_ch2_from_28022022162830__to__28022022163517.mp4#t=90.266667.jpg",1188.5431878626691,405.75153280041883,1434.5407851789166,704.1432853777385,"Profil-gauche"
"0.20456918023434945__6405_ch1_from_27022022160030__to__27022022161022.mp4#t=14.466667.jpg",449.65884157398455,591.9123711340206,1063.7617565280466,973.1412642960696,"Profil-droit"
"0.2598339249001522__6794_ch2_from_28022022162830__to__28022022163517.mp4#t=131.4.jpg",1105.652638418762,303.3185431096972,1594.9740540377175,821.7185838836986,"Profil-gauche"
"0.2598339249001522__6794_ch2_from_28022022162830__to__28022022163517.mp4#t=103.133333.jpg",1096.7396790377177,493.9329896907217,1642.212765957447,1104.077319587629,"Face"
"0.2598339249001522__6794_ch2_from_28022022162830__to__28022022163517.mp4#t=96.6.jpg",1123.478557180851,546.485580601643,1520.1052496373309,1067.5578135067653,"Face"
"0.2598339249001522__6794_ch2_from_28022022162830__to__28022022163517.mp4#t=96.jpg",1186.7606231866537,585.6773467702964,1546.844127780464,1101.4051274565077,"Face"
"0.2598339249001522__6794_ch2_from_28022022162830__to__28022022163517.mp4#t=78.333333.jpg",1912.2755984042553,204.44845360824743,2145.79497098646,480.57216494845363,"Face"
"0.2737433495504088__6794_ch2_from_28022022151630__to__28022022152146.mp4#t=89.266667.jpg",1173.1070395371262,466.5072312526801,1516.1520310993249,1003.5802473064966,"Face"
"0.2737433495504088__6794_ch2_from_28022022151630__to__28022022152146.mp4#t=100.466667.jpg",1114.451768924783,267.32780087505364,1847.643533027965,1003.5802473064966,"Profil-droit"
"0.2737433495504088__6794_ch2_from_28022022151630__to__28022022152146.mp4#t=82.066667.jpg",1256.6465615959498,33.469831672786235,1598.802781460945,287.77928598708195,"Face"
"0.2598339249001522__6794_ch2_from_28022022162830__to__28022022163517.mp4#t=157.jpg",1124.3699075193424,448.5061991583441,1625.2781975338492,980.2670646746135,"Profil-gauche"
"0.2598339249001522__6794_ch2_from_28022022162830__to__28022022163517.mp4#t=156.133333.jpg",1124.3699075193424,550.0484807909149,1496.9315008462283,1064.8856213756444,"Face"
"0.2737433495504088__6794_ch2_from_28022022151630__to__28022022152146.mp4#t=252.2.jpg",1922.2960161523624,135.72712155271762,2212.0176892478303,557.204974271012,"Profil-droit"
"0.2794890219882735__6809_ch1_from_28022022130130__to__28022022130749.mp4#t=134.8.jpg",1180.216806292189,758.1627651626823,1593.4704224927675,1215.2084048027446,"Profil-gauche"
"0.2794890219882735__6809_ch1_from_28022022130130__to__28022022130749.mp4#t=137.2.jpg",1245.981843659595,767.943951510238,1563.2540832931531,1273.8952515276587,"Face"
"0.2737433495504088__6794_ch2_from_28022022151630__to__28022022152146.mp4#t=245.933333.jpg",1167.7748161764705,542.0887063813251,1630.7965284474444,1121.843053173242,"Face"
"0.2794890219882735__6809_ch1_from_28022022130130__to__28022022130749.mp4#t=68.4.jpg",302.1639344262295,625.6729395033769,587.4422914657666,986.6856189027659,"Profil-droit"
"0.3109807929785796__6832_ch9_from_15032022215930__to__15032022220922.mp4#t=0.jpg",1718.779637777242,927.9987721778517,1952.5123553519768,1214.3192923858278,"Face"
"0.29005517270504355__6860_ch10_from_15042022215430__to__15042022220255.mp4#t=121.2.jpg",643.4315182015429,719.9274713899014,817.6200578592093,1013.3614336540523,"Profil-gauche"
"0.29005517270504355__6860_ch10_from_15042022215430__to__15042022220255.mp4#t=311.533333.jpg",148.41585553278688,910.2149295970465,372.3726268683703,1255.2221608497266,"Profil-gauche"
"0.29005517270504355__6860_ch10_from_15042022215430__to__15042022220255.mp4#t=281.2.jpg",368.81774349083895,895.0986617073596,591.8858787367406,1228.5463460984402,"Profil-gauche"
"0.29005517270504355__6860_ch10_from_15042022215430__to__15042022220255.mp4#t=124.933333.jpg",1181.9942140790743,828.409090909091,1543.7021908148504,1253.4437664156305,"Profil-droit"
"0.31502116966408766__6809_ch1_from_28022022163330__to__28022022164136.mp4#t=130.6.jpg",1186.4378013500482,575.8780310288915,1466.3837994214077,993.799196639151,"Profil-droit"
"0.321478524515982__6412_ch1_from_02032022144030__to__02032022144925.mp4#t=122.933333.jpg",987.3651458534233,759.941193516831,1297.5274831243973,1154.7431975637865,"Profil-droit"
"0.321478524515982__6412_ch1_from_02032022144030__to__02032022144925.mp4#t=429.2.jpg",1031.8010185631629,830.1874514231347,1416.6157033510124,1286.343910806175,"Profil-droit"
"0.321478524515982__6412_ch1_from_02032022144030__to__02032022144925.mp4#t=472.jpg",1086.9014736017357,703.0327751460657,1451.2756298216007,1096.9455989359992,"Face"
"0.3353572659324716__6797_ch1_from_02032022185630__to__02032022190233.mp4#t=8.933333.jpg",1188.2152091369335,322.45779089167024,1451.275629821601,551.8698248887757,"Face"
"0.3353572659324716__6797_ch1_from_02032022185630__to__02032022190233.mp4#t=10.6.jpg",1126.8937590405014,374.0310598801994,1316.1906039054966,615.8917531558212,"Profil-gauche"
"0.3353572659324716__6797_ch1_from_02032022185630__to__02032022190233.mp4#t=12.466667.jpg",1129.55993852459,356.2471833793418,1426.3915139826422,612.3350321277337,"Face"
"0.3353572659324716__6797_ch1_from_02032022185630__to__02032022190233.mp4#t=24.4.jpg",1356.1828893442623,328.68215445098093,1524.1504339440694,534.9751625649925,"Profil-droit"
"0.3353572659324716__6797_ch1_from_02032022185630__to__02032022190233.mp4#t=17.4.jpg",1267.311143924783,340.2416673925279,1480.6033329315333,623.0053308922063,"Profil-droit"
"0.3353572659324716__6797_ch1_from_02032022185630__to__02032022190233.mp4#t=83.2.jpg",974.9230201301832,606.9998488254449,1492.15668695757,997.355951587291,"Profil-gauche"
"0.3353572659324716__6797_ch1_from_02032022185630__to__02032022190233.mp4#t=125.133333.jpg",852.2801199373191,855.9741876775569,1576.5848451060751,1291.679161948569,"Profil-gauche"
"0.3941651466505396__6441_ch10_from_15042022162930__to__15042022163454.mp4#t=42.6.jpg",89.76044931292189,651.4595061575365,362.5967484329797,927.9987721778516,"Profil-droit"
"0.3806223911647658__6809_ch1_from_02032022150330__to__02032022150944.mp4#t=86.4.jpg",354.5982777844744,526.9723706515331,599.8842815814851,865.75520442485,"Profil-droit"
"0.3806223911647658__6809_ch1_from_02032022150330__to__02032022150944.mp4#t=119.4.jpg",377.70491803278685,563.4293717503753,646.9863337753134,863.9768439108062,"Profil-droit"
"0.3806223911647658__6809_ch1_from_02032022150330__to__02032022150944.mp4#t=75.8.jpg",305.7188178037608,444.27738562660807,571.445350168756,725.2626207721377,"Profil-droit"
"0.3941651466505396__6441_ch10_from_15042022162930__to__15042022163454.mp4#t=222.666667.jpg",1200.6573348601735,701.2544146320218,1562.3653115959496,1277.4519725557461,"Face"
"0.42227204232342297__6371_ch10_from_27022022133630__to__27022022134325.mp4#t=54.866667.jpg",926.932331846673,649.6811456434928,1451.2756298216007,1013.3614336540525,"Face"
"0.42350891032867166__6810_ch1_from_02032022202030__to__02032022203017.mp4#t=135.933333.jpg",1030.9122468659596,871.0904216471913,1395.2864030858245,1268.5600343053175,"Profil-gauche"
"0.42350891032867166__6810_ch1_from_02032022202030__to__02032022203017.mp4#t=527.466667.jpg",1014.0266694792671,728.8194096403303,1346.4069431051107,1152.075724632826,"Profil-gauche"
"0.42350891032867166__6810_ch1_from_02032022202030__to__02032022203017.mp4#t=530.866667.jpg",1068.2383528206365,720.8166516469233,1451.275629821601,1213.4300442887009,"Face"
"0.42350891032867166__6810_ch1_from_02032022202030__to__02032022203017.mp4#t=535.jpg",1066.4609450337512,708.367924528302,1525.039205641273,1168.0811049394297,"Profil-droit"
"0.42350891032867166__6810_ch1_from_02032022202030__to__02032022203017.mp4#t=538.933333.jpg",1048.6865959498552,743.9356775300172,1434.3900524349083,1188.532590051458,"Profil-gauche"
"0.42350891032867166__6810_ch1_from_02032022202030__to__02032022203017.mp4#t=548.933333.jpg",1050.9083895853423,815.0711835334479,1456.6079887897781,1234.7706418176463,"Profil-gauche"
"0.42350891032867166__6810_ch1_from_02032022202030__to__02032022203017.mp4#t=545.933333.jpg",1105.5645943828351,742.1573170159735,1523.2617978543876,1254.3330145127575,"Face"
"0.42350891032867166__6810_ch1_from_02032022202030__to__02032022203017.mp4#t=553.8.jpg",1047.7979598601735,807.0684255400408,1537.4811957569912,1246.3301886792453,"Face"
"0.42361575507124527__6391_ch2_from_02032022123630__to__02032022124255.mp4#t=148.533333.jpg",1192.6587964079074,594.5511556268762,1650.3482853182256,1264.114065180103,"Face"
"0.42361575507124527__6391_ch2_from_02032022123630__to__02032022124255.mp4#t=193.jpg",1666.3452266152362,4.4459691252144085,2164.02700096432,305.563128567887,"Profil-droit"
"0.42361575507124527__6391_ch2_from_02032022123630__to__02032022124255.mp4#t=173.333333.jpg",1124.2275795564126,399.817694374464,1622.7981256027,1220.4185248713552,"Face"
"0.42361575507124527__6391_ch2_from_02032022123630__to__02032022124255.mp4#t=146.866667.jpg",1245.981843659595,109.05130680143118,1691.2293424541947,652.3487542546635,"Profil-gauche"
"0.42361575507124527__6391_ch2_from_02032022123630__to__02032022124255.mp4#t=175.2.jpg",1225.5414506991322,178.40841837076545,1711.6698710221794,743.0464972729953,"Profil-gauche"
"0.45460079024538913__6783_ch2_from_27022022200430__to__27022022201351.mp4#t=131.333333.jpg",1866.3066538090645,613.2242123847556,2231.569581726133,1010.6938250428816,"Profil-gauche"
"0.45460079024538913__6783_ch2_from_27022022200430__to__27022022201351.mp4#t=134.666667.jpg",947.3728604146577,383.8121783876501,1337.5197685631629,887.0959376340052,"Face"
"0.42361575507124527__6391_ch2_from_02032022123630__to__02032022124255.mp4#t=243.8.jpg",1229.0962662729025,221.97892936588767,1598.802781460945,704.811169580162,"Profil-gauche"
"0.42361575507124527__6391_ch2_from_02032022123630__to__02032022124255.mp4#t=216.666667.jpg",1175.773219021215,440.72063067846807,1541.9247830279653,1160.0784487061803,"Face"
"0.42361575507124527__6391_ch2_from_02032022123630__to__02032022124255.mp4#t=202.8.jpg",1796.9868008678882,269.1061953091499,2227.1259944551593,775.0574953265706,"Face"
"0.45460079024538913__6783_ch2_from_27022022200430__to__27022022201351.mp4#t=400.6.jpg",1010.4717182979749,444.27738562660807,1395.2864030858245,1033.8129187660807,"Face"
"0.45460079024538913__6783_ch2_from_27022022200430__to__27022022201351.mp4#t=412.8.jpg",969.5907967695274,529.6399792627037,1369.513651157184,1041.8156089193826,"Profil-gauche"
